

Run Date,Account,Account Number,Action,Symbol,Description,Type,Exchange Quantity,Exchange Currency,Currency,Price,Quantity,Exchange Rate,Commission,Fees,Accrued Interest,Amount,Settlement Date
12/31/2025,"Taxable","Z24826156","REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,0,,USD,1,164.64,0,,,,-164.64,
12/31/2025,"Taxable","Z24826156","DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,0,,USD,,0.000,0,,,,164.64,
12/30/2025,"Roth IRA","165634409","REINVESTMENT FIDELITY FREEDOM INDEX 2060 INVESTOR (FDKLX) (Cash)",FDKLX,"FIDELITY FREEDOM INDEX 2060 INVESTOR",Cash,0,,USD,21.67,563.545,0,,,,-12212,
12/30/2025,"Roth IRA","165634409","DIVIDEND RECEIVED FIDELITY FREEDOM INDEX 2060 INVESTOR (FDKLX) (Cash)",FDKLX,"FIDELITY FREEDOM INDEX 2060 INVESTOR",Cash,0,,USD,,0.000,0,,,,12091.98,
12/30/2025,"Roth IRA","165634409","SHORT-TERM CAP GAIN FIDELITY FREEDOM INDEX 2060 INVESTOR (FDKLX) (Cash)",FDKLX,"FIDELITY FREEDOM INDEX 2060 INVESTOR",Cash,0,,USD,,0.000,0,,,,120.02,
12/17/2025,"Taxable","Z24826156","Electronic Funds Transfer Paid (Cash)",,"No Description",Cash,0,,USD,,0.000,0,,,,-1000,
12/17/2025,"Taxable","Z24826156","Electronic Funds Transfer Paid (Cash)",,"No Description",Cash,0,,USD,,0.000,0,,,,-4000,
12/15/2025,"Taxable","Z24826156","Electronic Funds Transfer Received (Cash)", ,"No Description",Cash,0,,USD,,0.000,0,,,,2272.03,
12/08/2025,"Taxable","Z24826156","Electronic Funds Transfer Paid (Cash)",,"No Description",Cash,0,,USD,,0.000,0,,,,-6000,
11/28/2025,"Taxable","Z24826156","REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,0,,USD,1,180.34,0,,,,-180.34,
